run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.44,0.47,,
2,0.44,0.47,,
3,0.44,0.47,0.44,0.47
4,0.44,0.47,0.44,0.47
5,0.44,0.47,0.44,0.47
6,0.44,0.47,0.44,0.47
7,0.44,0.47,0.44,0.47
8,0.44,0.47,0.44,0.47
9,0.44,0.47,0.44,0.47
10,0.44,0.47,0.44,0.47
11,0.44,0.46,0.44,0.47
12,0.44,0.46,0.44,0.46
13,0.44,0.47,0.44,0.46
14,0.44,0.47,0.44,0.47
15,0.44,0.47,0.44,0.47
16,0.44,0.47,0.44,0.47
17,0.44,0.47,0.44,0.47
18,0.44,0.47,0.44,0.47
19,0.44,0.47,0.44,0.47
20,0.44,0.47,0.44,0.47
21,0.44,0.47,0.44,0.47
22,0.44,0.47,0.44,0.47
23,0.44,0.47,0.44,0.47
24,0.44,0.47,0.44,0.47
25,0.44,0.46,0.44,0.47
26,0.44,0.47,0.44,0.47
27,0.44,0.47,0.44,0.47
28,0.44,0.47,0.44,0.47
29,0.44,0.47,0.44,0.47
30,0.44,0.47,0.44,0.47
31,0.44,0.47,0.44,0.47
32,0.44,0.47,0.44,0.47
33,0.44,0.47,0.44,0.47
34,0.44,0.47,0.44,0.47
35,0.44,0.46,0.44,0.47
36,0.44,0.47,0.44,0.47
37,0.44,0.47,0.44,0.47
38,0.44,0.47,0.44,0.47
39,0.44,0.47,0.44,0.47
40,0.44,0.47,0.44,0.47
41,0.44,0.47,0.44,0.47
42,0.44,0.47,0.44,0.47
43,0.44,0.46,0.44,0.47
44,0.44,0.47,0.44,0.47
45,0.44,0.47,0.44,0.47
46,0.44,0.47,0.44,0.47
47,0.44,0.47,0.44,0.47
48,0.44,0.47,0.44,0.47
49,0.44,0.47,0.44,0.47
50,0.44,0.46,0.44,0.47
