run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.7,1.71,,
2,1.71,1.71,,
3,1.7,1.71,1.7,1.71
4,1.7,1.69,1.7,1.7
5,1.7,1.71,1.7,1.7
6,1.7,1.7,1.7,1.7
7,1.7,1.7,1.7,1.7
8,1.69,1.69,1.7,1.7
9,1.69,1.7,1.69,1.7
10,1.7,1.69,1.69,1.69
11,1.69,1.7,1.69,1.7
12,1.7,1.71,1.7,1.7
13,1.7,1.72,1.7,1.71
14,1.69,1.69,1.7,1.71
15,1.7,1.71,1.7,1.71
16,1.71,1.69,1.7,1.7
17,1.71,1.71,1.71,1.7
18,1.7,1.7,1.71,1.7
19,1.7,1.7,1.7,1.7
20,1.69,1.71,1.7,1.7
21,1.72,1.69,1.7,1.7
22,1.71,1.7,1.71,1.7
23,1.71,1.7,1.71,1.7
24,1.7,1.71,1.71,1.7
25,1.69,1.7,1.7,1.7
26,1.7,1.7,1.7,1.7
27,1.72,1.69,1.7,1.7
28,1.71,1.71,1.71,1.7
29,1.71,1.71,1.71,1.7
30,1.69,1.71,1.7,1.71
31,1.7,1.69,1.7,1.7
32,1.7,1.71,1.7,1.7
33,1.72,1.71,1.71,1.7
34,1.71,1.7,1.71,1.71
35,1.7,1.71,1.71,1.71
36,1.7,1.71,1.7,1.71
37,1.7,1.69,1.7,1.7
38,1.71,1.7,1.7,1.7
39,1.71,1.69,1.71,1.69
40,1.71,1.71,1.71,1.7
41,1.69,1.7,1.7,1.7
42,1.7,1.7,1.7,1.7
43,1.71,1.7,1.7,1.7
44,1.69,1.7,1.7,1.7
45,1.7,1.7,1.7,1.7
46,1.69,1.71,1.69,1.7
47,1.69,1.7,1.69,1.7
48,1.71,1.71,1.7,1.71
49,1.71,1.71,1.7,1.71
50,1.69,1.71,1.7,1.71
