run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.68,1.69,,
2,1.63,1.69,,
3,1.66,1.69,1.66,1.69
4,1.68,1.69,1.66,1.69
5,1.63,1.69,1.66,1.69
6,1.68,1.69,1.66,1.69
7,1.68,1.69,1.66,1.69
8,1.66,1.69,1.67,1.69
9,1.66,1.69,1.67,1.69
10,1.67,1.69,1.66,1.69
11,1.7,1.69,1.68,1.69
12,1.63,1.69,1.67,1.69
13,1.66,1.69,1.66,1.69
14,1.7,1.69,1.66,1.69
15,1.63,1.69,1.66,1.69
16,1.68,1.69,1.67,1.69
17,1.63,1.69,1.65,1.69
18,1.66,1.69,1.66,1.69
19,1.67,1.69,1.65,1.69
20,1.68,1.69,1.67,1.69
21,1.68,1.69,1.68,1.69
22,1.67,1.69,1.68,1.69
23,1.67,1.69,1.67,1.69
24,1.68,1.69,1.67,1.69
25,1.7,1.69,1.68,1.69
26,1.7,1.69,1.69,1.69
27,1.63,1.69,1.68,1.69
28,1.62,1.69,1.65,1.69
29,1.62,1.69,1.62,1.69
30,1.67,1.69,1.64,1.69
31,1.64,1.69,1.64,1.69
32,1.63,1.69,1.65,1.69
33,1.68,1.69,1.65,1.69
34,1.66,1.69,1.66,1.69
35,1.67,1.69,1.67,1.69
36,1.68,1.69,1.67,1.69
37,1.67,1.69,1.67,1.69
38,1.62,1.69,1.66,1.69
39,1.62,1.69,1.64,1.69
40,1.63,1.69,1.62,1.69
41,1.66,1.69,1.64,1.69
42,1.66,1.69,1.65,1.69
43,1.66,1.69,1.66,1.69
44,1.66,1.69,1.66,1.69
45,1.64,1.69,1.65,1.69
46,1.7,1.69,1.67,1.69
47,1.63,1.69,1.66,1.69
48,1.69,1.69,1.67,1.69
49,1.71,1.69,1.68,1.69
50,1.68,1.69,1.69,1.69
